Car Make,Car Model,Dealer or Individual?,Price,Year,Location,Mileage,Doors,Color,VIN#,Engine,Description,Web Link
Honda,Accord,Dealer,"$22,659",2019,"Inver Grove Heights, MN",34876,4,White,1HGCV1F10KA150774,4 Cyl,"Thank you for visiting the twin cities newest Honda dealer Inver Grove Honda. Inver Grove Honda is located 10nutes east of the Mall of America just off interstate 494 and South Robert Trail. CARFAX One-Owner. Clean CARFAX. Certified. Platinum White Pearl 2019 Honda Accord LX FWD CVT 1.5T I4 DOHC 16V Turbocharged VTEC Black w/Cloth Seat Trim. Honda Certified Pre-Owned means you not only get the reassurance of a 12mo/12,000le limited warranty, but also up to a 7yr/100kle powertrain warranty, a 182-point inspection/reconditioning, and and a complete CARFAX vehicle history report.  Recent Arrival! 30/38 City/Highway MPG Certification Program Details: Honda True Certified Pre-Owned Details: * Limited Warranty: 12 Month/12,000 Mile (whichever comes first) after new car warranty expires or from certified purchase date * Transferable Warranty * Warranty Deductible: $0 * Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date * 5 complimentary oil changes (Thanks to Inver Grove Honda’s Courtesy Care) * Vehicle History Reports * 182 Point Inspection Interactive Certification Process * Roadside Assistance for the duration of the Certified Pre-Owned Limited Warranty * Complimentary loaner cars Awards: * JD Power Automotive Performance, Execution and Layout (APEAL) Study * ALG Residual Value Awards, Residual Value Awards Call us at 651-306-8600 or come visit Inver Grove Honda conveniently located at 4605 South Robert Trail, Inver Grove Heights, MN 55077. You may also visit us at www.InverGroveHonda.com 24/7. Your local President's Award winning dealership!",https://www.carfax.com/vehicle/1HGCV1F10KA150774
Honda,Accord,Dealer,$20835,2018,Wexford PA,39890,4,Lunar silver metallic,1HGCV1F13JA181645,4,"Baierl Honda is pleased to offer this charming-looking 2018 Honda Accord in Silver. This vehicle has been inspected by our award winning service team and comes with the following features; 60 Day / 3,000le Limited Warranty, 4D Sedan, 1.5T I4 DOHC 16V Turbocharged VTEC, Silver, Black Cloth, 4 Speakers, Air Conditioning, AM/FM radio, Auto High-beam Headlights, Automatic temperature control, Brake assist, Bumpers: body-color, Delay-off headlights, Dual front impact airbags, Electronic Stability Control, Exterior Parking Camera Rear, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Fully automatic headlights, Occupant sensing airbag, Panic alarm, Passenger door bin, Power doorrrors, Power steering, Power windows, Radio: 160-Watt AM/FM Audio System, Remote keyless entry, Security system, Speed-sensing steering, Speed-Sensitive Wipers, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Variably intermittent wipers.",https://www.baierlhonda.com/used/Honda/2018-Honda-Accord-d702a1200a0e081d6cf84a4223f17e15.htm?store=PAWEXHON&utm_source=Google&utm_medium=shopping&utm_campaign=17452214827&utm_term=&ads_adgroup=144380049744&ads_adid=602955565812&ads_digadprovider=adpearance&adpdevice=c&campaign_id=17452214827&adpprov=1&gclid=Cj0KCQjw2cWgBhDYARIsALggUhrBx-MhVXbfEiwMBGnGKrGqps6Vw45U_HJba2L_CID5QnVqzC_tnikaAhgZEALw_wcB
Honda,Accord,Dealer,"$30,750",2021,"Near Kingston, NY",20504,4,Black,1HGCV2F38MA028349,4 Cyl,"Crystal Black Pearl 2021 Honda Accord Sport 2.0T I4 DOHC 16V Turbocharged 10-Speed Automatic FWD  HONDA CERTIFIED/CPO Warranty *, One Owner *, (4) BRAND NEW Tires *, (2) Keys *, New Air & Cabin Filter *, New Wiper Blades *, Bluetooth - Hands Free *, Fully Serviced & White Glove Detailed *, Alignment, Oil and Filter Changed, Clean Carfax!!, Black Cloth, Adaptive Cruise Control: Adaptive Cruise Control (ACC) with Low-Speed Follow, Exterior Parking Camera Rear, Forward collision: Collision Mitigation Braking System (CMBS) + FCWtigation, Lane Departure Warning System, Power moonroof, Wheels: 19"" Machine-Finished Alloy w/Black Inserts.  Honda Details:  * Limited Warranty: 12 Month/12,000 Mile (whichever comes first) after new car warranty expires or from certified purchase date (for HondaTrue Certified program), 60 Month/86,000 Mile (whichever comes first) from original in-service date, if purchased within new vehicle limited warranty period (for HondaTrue Certified+ program), 5,000 Mile 100-days/5000(whichever comes first) after new car warranty expires or from certified purchase date (for HondaTrue Used program) * Vehicle History * Warranty Deductible: $0 * Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date (for HondaTrue Certified program), 84 Month/100,000 Mile (whichever comes first) from original in-service date (for HondaTrue Certified+ program), 5,000 Mile 100-days/5000(whichever comes first) after new car warranty expires or from certified purchase date (for HondaTrue Used program) * 182 Point Inspection (for HondaTrue Certified+ program), 182 Point Inspection (for HondaTrue Certified program), 112 Point Inspection (for HondaTrue Used program) * Transferable Warranty * Honda Care Motor Club Partner for 2 years/50,000 (whichever comes first.) Roadside Assistance, Trip Interruption and Concierge Service for the duration of the Certified Pre-Owned Limited Warranty. Up to two complimentary oil changes within the first year of ownership. SiriusXM 90-Day Trial (for HondaTrue Certified+ program), Vehicles purchased within New Vehicle Limited Warranty period: extends New Vehicle Limited Warranty to 4 years*/48,000*. Honda Care Motor Club Partner for 1 year/12,000. Up to two complimentary oil changes within the first year of ownership. SiriusXM 90-Day Trial (for HondaTrue Certified program), Honda Care Motor Club Partner for 1 year/12,000. Roadside Assistance, Trip Interruption and Concierge Service for 1 year/12,000 (whichever occurs first) beginning at the expiration of the New Vehicle Limited Warranty, or from the date of sale of the vehicle if the New Vehicle Limited Warranty has expired at the time of sale. 2015 and newer models, Honda Roadside Assistance is available throughout the New Vehicle Limited Warranty period. One complimentary oil change within the first year of ownership. SiriusXM 90-Day free trial. (for HondaTrue Used program) * Roadside Assistance   Here at Lia Honda in Kingston NY, we are proud to serve the communities of Poughkeepsie, New Paltz, Saugerties and their surrounding areas. Please review our extensive new and used inventory of Honda cars, trucks, vans and SUVs. We work hard to get you into the driver's seat of a vehicle you have always wanted. That new Honda is waiting for you and we work with a vast array of lending sources to make sure you will get the most complete and comprehensive financial package available in Kingston, NY. Make sure to check out our Honda Financing page for more information. At Lia Honda in Kingston NY, we also strive to make buying or leasing a new vehicle a pleasant and rewarding experience. For your convenience, use our online Credit Application to submit an application online. Our primary goal is to satisfy our customers. Our online dealership was created to enhance the buying experience for each and every one o",https://www.carfax.com/vehicle/1HGCV2F38MA028349
Honda,Accord,Dealer,"$31,500",2021,"Near Longview, WA",23427,4,White,1HGCV2F30MA004000,4 Cyl,,https://www.carfax.com/vehicle/1HGCV2F30MA004000
Honda,Accord,Dealer,"$28,654",2021,"Danvers, MA",,4,Blue,1HGCV1F49MA048791,4 Cyl,"JUST TRADED! 1 owner Accord Sport Special Edition with low and routine maintenance! The Special Edition includes heated seats WITH leather trim. Great, comfortable, and stylish! Don'tss one this clean at this price!  Certified. Blue 2021 Honda Accord Sport Special Edition FWD CVT 1.5T I4 DOHC 16V Turbocharged VTEC Blk Lth-Trmmed Seats.  Recent Arrival! Odometer is 7789 below market average! 29/35 City/Highway MPG  HondaTrue Certified Details:  * 182 Point Inspection * Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date * Roadside Assistance * Vehicles purchased within New Vehicle Limited Warranty period: extends New Vehicle Limited Warranty to 4 years*/48,000*. Honda Care Motor Club Partner for 1 year/12,000. Up to two complimentary oil changes within the first year of ownership. SiriusXM 90-Day Trial * Limited Warranty: 12 Month/12,000 Mile (whichever comes first) after new car warranty expires or from certified purchase date * Transferable Warranty * Warranty Deductible: $0 * Vehicle History",https://www.carfax.com/vehicle/1HGCV1F49MA048791
Honda,Accord,Dealer,"$28,882",2021,"Cleveland, OH",23957,4,Gray,1HGCV2F32MA013670,4 Cyl,"Sonic Gray Pearl 2021 Honda Accord Sport 2.0T 4D Sedan I4 DOHC 16V Turbocharged 10-Speed Automatic FWD CARFAX One-Owner. Clean CARFAX. Black w/Cloth Seat Trim.   Odometer is 5678 below market average! 22/32 City/Highway MPG  Crown Acura serves drivers of the greater Cleveland area with premium service for luxury Acura vehicles. Our certified sales specialists and repair technicians work hard to make sure you have the best experience possible. We look forward to seeing you soon! *Based on 2020 EPAleage ratings. Use for comparison purposes only. Your actualleage will vary, depending on how you drive and maintain your vehicle, driving conditions, battery pack age/condition (hybrid only) and other factors.",https://www.carfax.com/vehicle/1HGCV2F32MA013670
Honda,Accord,Dealer,"$29,281",2021,"Olympia, WA",8185,4,Silver,1HGCV1F33MA062287,4 Cyl,"Priced below KBB Fair Purchase Price! CARFAX One-Owner. Clean CARFAX. Certified.  This 2021 Lunar Silver Metallic Honda Accord Sport FWD is well equipped and includes these features and benefits:  Fresh oil change, Fully detailed, Safety inspected, 182 point inspected, Automatic Headlights, Backup Camera, Bluetooth.  Odometer is 12023 below market average! 29/35 City/Highway MPG  HondaTrue Certified Details:  * Transferable Warranty * Limited Warranty: 12 Month/12,000 Mile (whichever comes first) after new car warranty expires or from certified purchase date * Powertrain Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date * Roadside Assistance * Vehicles purchased within New Vehicle Limited Warranty period: extends New Vehicle Limited Warranty to 4 years*/48,000*. Honda Care Motor Club Partner for 1 year/12,000. Up to two complimentary oil changes within the first year of ownership. SiriusXM 90-Day Trial * Vehicle History * Warranty Deductible: $0 * 182 Point Inspection   Family owned since 1971 and proud to be part of the Olympia Community giving back to the community is part of our business. Capitol City Honda - No Regrets!!",https://www.carfax.com/vehicle/1HGCV1F33MA062287
Honda,Accord,Dealer,$16999,2017,"Jamaica, NY",102380,4,Lunar Silver Metallic,1HGCR3F83HA005170,3.5L V6,,https://www.hillsideautos.net/details/used-2017-honda-accord/91364769
Honda,Accord,Dealer,$19999,2019,"Jamaica, NY",20684,4,Black,1HGCV1F16KA087485,1.5L I4,,https://www.hillsideautos.net/details/used-2019-honda-accord/89147503
Honda,Accord,Dealer,$22500,2020,"Bronx, NY",22106,4,Gold,1HGCV1F1XLA057102,I-4 cyl,"CARFAX One-Owner. 2020 Honda Accord LX FWD CVT 1.5T I4 DOHC 16V Turbocharged VTEC ABS brakes, Adaptive Cruise Control: Adaptive Cruise Control (ACC) with Low-Speed Follow, Automatic temperature control, Brake assist, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Exterior Parking Camera Rear, Forward collision: Collision Mitigation Braking System (CMBS) + FCWtigation, Fully automatic headlights, Illuminated entry, Knee airbag, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Panic alarm, Radio: 160-Watt AM/FM Audio System, Remote keyless entry, Security system, Speed-Sensitive Wipers, Steering wheel mounted audio controls, Traction control, Wheels: 17"" Silver-Painted Alloy.",https://www.riverdalechryslerjeep.com/used/Honda/2020-Honda-Accord-bronx+NY-a2f4c3370a0e081d44288e64d142b85f.htm
Honda,Accord,Dealer,$23995,2019,"Great Neck, NY",25039,4,White,1HGCV1F46KA096021,1.5L I4,"BLIND SPOT ASSISTANCE Attention Assist, BlueTooth, Alloy Wheels, Keyless Go, Lane Assist, iPhone Connection, Heated Seats, Satellite Radio, Rear View Camera, Traction Control, ABS Anti-Lock Brakes, Power Windows/ Locks/ Seats/ Mirrors/Steering, Air Conditioning, Air Bags, Rear Window Defroster, Cruise Control, Tilt Wheel. Special pricing ad/promotion is available to customers who reference such pricing present the ad at time of sale otherwise in store list price applies. Buyer is responsible to verify options/packages. Any error voids the ad. Certified Pre-Owned program available . Internet Pricing/Monthly payments exclude tax, title, registration, inspection, destination charges, finance charges, and reflects a partial payment or trade equivalent of $2995, 96 months@3.99%,finance thru dealer only, credit subject to primary lender approval. Price subject to change without notice, Inventory subject to prior sales.",https://www.mercedesinc.com/details/used-2019-honda-accord/92304183
Honda,Accord,Dealer,$19995,2018,"Great Neck, NY",62642,4,White,1HGCV1F41JA149187,1.5L I4,"Keyless Go, iPhone Connection, Push Start, Rear View Camera, Satellite Radio, Leather Seats, Traction Control, ABS Anti-Lock Brakes, Power Windows/ Locks/ Seats/ Mirrors/Steering, Air Conditioning, Air Bags, Rear Window Defroster, Cruise Control, Tilt Wheel. Special pricing ad/promotion is available to customers who reference such pricing present the ad at time of sale otherwise in store list price applies. Buyer is responsible to verify options/packages. Any error voids the ad. Certified Pre-Owned program available . Internet Pricing/Monthly payments exclude tax, title, registration, inspection, destination charges, finance charges, and reflects a partial payment or trade equivalent of $2995, 96 months@3.99%,finance thru dealer only, credit subject to primary lender approval. Price subject to change without notice, Inventory subject to prior sales.",https://www.mercedesinc.com/details/used-2018-honda-accord/92443472
Honda,Accord,Dealer,$16777,2016,"Hempstead, NY",89512,4,White Orchid Pearl,1HGCR2F55GA173620,2.4L I4,"Clean CARFAX.   Priced below KBB Fair Purchase Price! Odometer is 12452 below market average!  2016 Honda Accord Sport White Orchid Pearl   FWD  CVT  2.4L I4 DOHC i-VTEC 16V  26/35 City/Highway MPG  HONDA TRUE USED WARRANTY PROGRAM FULLY SERVICED A REAL SHARP CAR, Black w/Cloth Seat Trim, 19'' Alloy Wheels, 4-Wheel Disc Brakes, ABS brakes, Bumpers: body-color, Driver door bin, Driver vanityrror, Exterior Parking Camera Rear, Front dual zone A/C, Outside temperature display, Panic alarm, Passenger vanityrror, Power doorrrors, Remote keyless entry, Security system, Speed control, Steering wheel mounted audio controls.  Awards: * 2016 KBB.com Brand Image Awards Kelley Blue Book Brand Image Awards are based on the Brand Watch(tm) study from Kelley Blue Book Market Intelligence. Award calculated among non-luxury shoppers. For more information, visit www.kbb.com. Kelley Blue Book is a registered trademark of Kelley Blue Book Co., Inc.",https://www.millenniumhonda.co/details/used-2016-honda-accord/92398642
Honda,Accord,Dealer,$26477,2020,"Hempstead, NY",20979,4,Obsidian Blue Pearl,1HGCV1F42LA042362,1.5L I4,"CARFAX One-Owner.   Priced below KBB Fair Purchase Price! Odometer is 5581 below market average!  2020 Honda Accord EX Obsidian Blue Pearl   FWD  CVT  1.5T I4 DOHC 16V Turbocharged VTEC  30/38 City/Highway MPG  Gray w/Cloth Seat Trim.  Awards: * ALG Residual Value Awards, Residual Value Awards",https://www.millenniumhonda.co/details/used-2020-honda-accord/92133984
Honda,Accord,Dealer,$26517,2019,"Hempstead, NY",20611,4,Platinum White Pearl,1HGCV1F55KA116834,1.5L I4,"CARFAX One-Owner.   Priced below KBB Fair Purchase Price! Odometer is 13183 below market average!  2019 Honda Accord EX-L Platinum White Pearl   FWD  CVT  1.5T I4 DOHC 16V Turbocharged VTEC  30/38 City/Highway MPG  Carfax One Owner, Leather Seats, Moonroof, Navigation System, ONE OWNER, HONDA CERTIFIED 7 YEARS 100,000 MILE WARRANTY LOW MILES IN EXCELLENT CONDITION, Black w/Leather-Trimmed Seats, 4-Wheel Disc Brakes, ABS brakes, Apple CarPlay/Android Auto, Auto-dimming Rear-Viewrror, Bumpers: body-color, Exterior Parking Camera Rear, Outside temperature display, Panic alarm, Power doorrrors, Power moonroof, Security system, Speed control, Turn signal indicatorrrors.  Awards: * JD Power Automotive Performance, Execution and Layout (APEAL) Study * ALG Residual Value Awards, Residual Value Awards",https://www.millenniumhonda.co/details/used-2019-honda-accord/92133981
Honda,Accord,Dealer,$16995,2013,"Avenel, NJ",42259,4,Gray,1HGCT1B36DA022314,2.4L I4,"Avenel Auto Sales is Proudly family owned and operated since 2008. We offer guaranteed quality at the Best Prices! We specialize in New Car Dealer trade-ins both Foreign and Domestic (none of which come from auctions), each receiving a vigorous 27 point courtesy check. We will not be undersold! Our inventory features a wide variety of vehicles which includes (but is not limited to) Honda, Toyota, Hyundai, Ford, Chevy, Chrysler, Audi, Dodge, Jeep, Acura, BMW, Mercedes, Subaru, and Much More. Financing and Extended Warranty options are available. Price(s) include(s) all costs to be paid by a customer, except for licensing costs, registration fees, and taxes.",https://www.avenelautosalesnj.com/details/used-2013-honda-accord/92380870
Honda,Accord,Dealer,$14995,2016,"Inwood, NY",96988,4,Burgundy,1HGCR2F35GA163667,I4 2.4L Natural Aspiration,,https://www.adamsmotorsny.com/details/used-2016-honda-accord/91755527
